NUMBER_1,X_WORLD_1,Y_WORLD_1,XWIN_WORLD_1,YWIN_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO (V),MAGERR_ISO (V),FLUX_AUTO_1,FLUXERR_AUTO_1,FLUX_MAX_1,ISOAREA_IMAGE_1,CXX_IMAGE_1,CYY_IMAGE_1,CXY_IMAGE_1,A_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,XWIN_WORLD_2,YWIN_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO (B),MAGERR_ISO (B),FLUX_AUTO_2,FLUXERR_AUTO_2,FLUX_MAX_2,ISOAREA_IMAGE_2,CXX_IMAGE_2,CYY_IMAGE_2,CXY_IMAGE_2,A_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation
1828,91.818461,24.09990382,91.8184583,24.09989945,1495.706,791.2052,1386.5714,89.18905,18.545143,0.06985526,1752.9702,128.31815,164.21844,19,0.64306915,0.71209204,0.01656758,1.247965,-6.748686,0,1.0538267,0.051077366,1056,91.81846368,24.09990302,91.81845828,24.09989895,1495.711,791.2207,1052.4152,64.846825,18.844532,0.06691623,1683.9026,149.79701,164.21844,12,1.1182935,1.3487432,0.12095065,0.9519978,-13.846283,0,1.1116991,0.100476086,0.009266441
1829,91.81867252,24.0338423,91.81867057,24.03382994,1913.2063,794.2046,1729.4962,92.52209,18.3052,0.05809726,2261.508,176.52539,168.80544,22,0.54231274,0.77634925,0.001800197,1.3579272,-0.22035375,0,1.1964816,0.16421616,1063,91.81867765,24.0338067,91.81867503,24.03383098,1913.4312,794.23517,1335.1075,70.80432,18.586208,0.057593483,2476.9683,173.38701,168.80544,14,1.0255226,1.1377517,-0.046182014,0.9896832,11.183526,0,1.0577657,0.054611087,0.129250041
1831,91.81742982,24.11579163,91.81743006,24.11579156,1395.3212,784.8292,4831.989,132.07108,17.189684,0.029683262,5665.7754,194.21169,364.46985,44,0.40585512,0.3899908,0.014520016,1.6071233,-68.766655,3,1.027398,0.026667356,1029,91.81743896,24.11579666,91.81743565,24.11579157,1395.2892,784.88184,4356.46,114.13313,17.302166,0.028451676,6101.3145,213.33075,364.46985,33,0.56308293,0.48335692,0.014309297,1.4393035,-84.91242,3,1.0806476,0.07462889,0.03504835
1832,91.81872832,24.20626977,91.81872276,24.20626594,823.4714,789.88245,2787.272,108.25852,17.787052,0.042180583,2896.111,144.08812,261.09943,29,0.58128536,0.5388307,-0.03937262,1.3721731,68.57851,0,1.0531005,0.050422966,1045,91.81873586,24.20626419,91.81872235,24.20626581,823.5065,789.9261,2401.4922,87.49848,17.948797,0.03956846,2839.7268,151.0192,261.09943,20,0.9959867,0.6564501,0.010389847,1.2343134,-89.12365,0,1.2318833,0.18823475,0.031870171
1833,91.81893626,24.15815235,91.8189095,24.15814896,1127.5665,792.3775,1523.3821,89.95275,18.442978,0.064126186,2084.1912,189.67252,151.47891,22,0.82701284,0.5019668,0.11886318,1.4264753,-79.95675,0,1.3054692,0.23399186,1060,91.81891209,24.15815748,91.81890742,24.15814914,1127.5347,792.23804,1146.7677,69.461586,18.75131,0.06578079,1968.3162,150.74336,151.47891,14,1.0679088,1.0385121,0.03281311,0.984764,-65.92829,0,1.0211381,0.020700514,0.081491109
1838,91.81615264,24.21364917,91.81614454,24.21362606,776.89685,774.8376,8911.6,168.38414,16.52511,0.020519905,9505.655,218.1759,739.10535,65,0.3728396,0.2989403,-0.027741104,1.8367257,79.712166,2,1.1252959,0.111344814,1010,91.81615603,24.21364147,91.81614447,24.21362594,776.94543,774.85736,7814.965,136.33295,16.667683,0.018945392,9488.384,206.37753,739.10535,40,0.511004,0.49519938,-0.009449245,1.4229276,74.56281,0,1.018471,0.018135965,0.029885363
1839,91.81799486,24.11489049,91.81799722,24.11488306,1401.0024,788.11285,4318.741,127.04861,17.311607,0.03194792,4613.2686,173.48647,356.13583,41,0.4081338,0.4415011,-0.02327274,1.5723647,17.447344,3,1.0490847,0.046788037,1039,91.81799486,24.11489049,91.81799688,24.11488622,1401.0024,788.11285,3869.0784,109.6063,17.43098,0.030765064,5010.5635,203.14172,356.13583,31,0.49160215,0.62449706,-0.18071117,1.4975637,26.83463,3,1.2259985,0.18433833,0
1840,91.81781693,24.13269483,91.81779598,24.13269609,1288.4843,786.6076,7600.982,152.85437,16.697824,0.021839263,7917.1787,182.0405,573.78345,52,0.4231829,0.36005858,0.02433839,1.6717972,-79.45761,0,1.0904522,0.08294928,1034,91.81781875,24.13269489,91.81779584,24.13269608,1288.4839,786.6181,7001.219,132.32613,16.787066,0.020525878,7906.308,182.01064,573.78345,39,0.538504,0.4460979,-0.021682834,1.4993279,83.3973,0,1.1015306,0.092172265,0.005985193
1841,91.81746189,24.12648585,91.81745922,24.12648221,1327.7335,784.7268,9117.617,161.84782,16.500296,0.019277705,9560.601,196.11299,710.8182,59,0.39542684,0.35447207,-0.002751983,1.6797215,88.07787,0,1.0563204,0.053317606,1030,91.81747386,24.12648155,91.8174592,24.1264822,1327.7604,784.79596,8373.86,139.31364,16.592686,0.018067488,9504.714,189.84177,710.8182,41,0.49333295,0.46729106,0.023622228,1.4700602,-68.89465,0,1.0372958,0.035954833,0.042252923
1842,91.81850618,24.09754348,91.81850053,24.09753158,1510.6222,791.52936,3089.5784,113.18299,17.675251,0.039784305,3385.9575,153.67418,240.99951,31,0.50346416,0.53646326,0.089488484,1.4551336,-34.879223,0,1.0963378,0.087872386,1049,91.8185128,24.09753829,91.81850059,24.09753161,1510.6548,791.5677,2714.017,93.57715,17.815968,0.037444416,3443.9475,170.08302,240.99951,23,0.6217621,0.830111,0.080539376,1.2759321,-10.567257,0,1.1677556,0.14365643,0.028646235
1847,91.81846111,24.04167298,91.8184688,24.04167321,1863.7219,792.7735,2455.376,105.47648,17.924706,0.0466517,2943.4873,176.22435,223.0655,29,0.49908122,0.5912139,0.042324036,1.4221241,-12.336585,0,1.0977491,0.08904511,1052,91.81846913,24.0416642,91.81846885,24.04167322,1863.7772,792.82,2016.6069,83.716034,18.138447,0.045083456,2950.496,176.24423,223.0655,18,0.8187635,0.88256776,0.18233801,1.1515754,-35.356937,0,1.1207942,0.10777551,0.041140827
